osmid,lat,lon
312080387,-7.2853092,112.7302719
312080582,-7.2843003,112.7303045
312080687,-7.2834292,112.7256168
312080693,-7.2819139,112.7289302
312080694,-7.2808366,112.7313414
312080757,-7.2766969,112.7279106
315282052,-7.2916913,112.757718
315282054,-7.2917124,112.7599849
315282288,-7.2955447,112.7677293
315282290,-7.2952446,112.7648877
315440654,-7.2679305,112.7104431
315724272,-7.268129,112.7119477
315725739,-7.2607803,112.6922123
315726336,-7.2798426,112.7440408
315726515,-7.2660187,112.7499195
315726776,-7.2902942,112.7410036
315728661,-7.268629,112.7743126
315728694,-7.270951,112.7606936
315728695,-7.2717499,112.7609225
315729025,-7.2939048,112.7643068
315729026,-7.2943679,112.7678186
315729027,-7.2945082,112.7703877
316010056,-7.3073864,112.7178144
316012077,-7.2777466,112.7726714
316174827,-7.3309094,112.7642202
316175260,-7.3226784,112.7787985
316175262,-7.3228712,112.7724579
316175513,-7.3317633,112.7853738
316175514,-7.3311721,112.7722301
316175897,-7.3007517,112.7370918
316175914,-7.3090467,112.7197328
316175916,-7.3090421,112.7188511
316176740,-7.3072078,112.7148608
316176749,-7.3017109,112.7070985
316176751,-7.3045819,112.7080304
316176754,-7.3068462,112.7149637
316370702,-7.2738699,112.6984652
316370704,-7.2746038,112.6998071
316370706,-7.2749576,112.7032725
316370897,-7.2769126,112.6900332
316370898,-7.2781662,112.6885604
316371077,-7.2706779,112.6895194
316371080,-7.2725749,112.6985853
316371086,-7.2785155,112.6960294
316372232,-7.2880305,112.7047933
316372796,-7.264118,112.7177064
316372797,-7.2633531,112.7178288
316372798,-7.2618628,112.7181195
316372891,-7.2509816,112.7090608
316372894,-7.251579,112.710605
320086432,-7.3460823,112.7277504
320086436,-7.3456634,112.7284652
320086486,-7.3466638,112.7266028
320086488,-7.3471946,112.7292837
